song|artist|album|genre|filePath
Around The World (La La La La |Atc|Now That's What I Call Music! |Rock|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGE4ZIP/Now That's What I Call Music! Volume 6/Now That's What I Call Music! Volume 6 - 04 - ATC - Around The World (La La La La La).mp3
I Want To Wake Up With You|Boris Gardiner|Dancing On Sunshine|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGHCH1W/Dancing On Sunshine/Dancing On Sunshine - Boris Gardiner - 18 - I Want To Wake Up With You.mp3
UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU|UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU|UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU|Bebop|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGHCH1W/Reggae Steady Ska (Disk 3)/Reggae Steady Ska (Disk 3) - Boris Gardiner - 15 - Comanding wife.mp3
Elizabethan Reggae|Boris Gardiner|This Is Ska [The Famous and Th|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGHCH1W/This Is Ska [The Famous and The Infamous/This Is Ska [The Famous and the Infamous] - Elizabethan Reggae.mp3
Rap Game|D12|8 Mile (Ost)|Soundtrack|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGHIHYF/8 Mile (Ost)/8 Mile (OST) - D12 - 06 - Rap Game.mp3
Y Que De Mi|Choco Orta|I Love Salsa|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGIG66Y/I Love Salsa/I Love Salsa - Y Que De Mi.mp3
Where Is The Love|Black Eyed Peas, The|2004 Grammy Nominees|Pop|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGIUCI4/2004 Grammy Nominees/The Black Eyed Peas - 2004 Grammy Nominees - 02 - Where Is The Love.mp3
Hands Up|Black Eyed Peas, The|Elephunk|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGIUCI4/Elephunk/The Black Eyed Peas - Elephunk - 01 - Hands Up.mp3
Labor Day|Black Eyed Peas, The|Elephunk|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGIUCI4/Elephunk/The Black Eyed Peas - Elephunk - 02 - Labor Day.mp3
Let's Get Retarded|Black Eyed Peas, The|Elephunk|Other|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RGIUCI4/Elephunk/The Black Eyed Peas - Elephunk - 03 - Let's Get Retarded.mp3
