Done|song|artist|album|genre|track|filePath|FileName
x|¿Dónde están los ladrones|Shakira|¿Dónde están los ladrone|Pop|9|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - ¿Dónde están los ladrones- - 09.mp3|Shakira - ¿Dónde están los ladrones- - ¿Dónde están los ladrones-  09.mp3
x|Ciega, sordomuda |Shakira|¿Dónde están los ladrone|Pop|1|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Ciega, sordomuda - 01.mp3|Shakira - ¿Dónde están los ladrones- - Ciega, sordomuda - 01.mp3
x|Inevitable |Shakira|¿Dónde están los ladrone|Pop|5|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Inevitable - 05.mp3|Shakira - ¿Dónde están los ladrones- - Inevitable - 05.mp3
x|Moscas en la casa |Shakira|¿Dónde están los ladrone|Pop|3|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Moscas en la casa - 03.mp3|Shakira - ¿Dónde están los ladrones- - Moscas en la casa - 03.mp3
x|No creo |Shakira|¿Dónde están los ladrone|Pop|4|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - No creo - 04.mp3|Shakira - ¿Dónde están los ladrones- - No creo - 04.mp3
x|Octavo día |Shakira|¿Dónde están los ladrone|Pop|6|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Octavo día - 06.mp3|Shakira - ¿Dónde están los ladrones- - Octavo día - 06.mp3
x|Ojos así |Shakira|¿Dónde están los ladrone|Pop|11|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Ojos así - 11.mp3|Shakira - ¿Dónde están los ladrones- - Ojos así - 11.mp3
x|Que vuelvas |Shakira|¿Dónde están los ladrone|Pop|7|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Que vuelvas - 07.mp3|Shakira - ¿Dónde están los ladrones- - Que vuelvas - 07.mp3
x|Si te vas |Shakira|¿Dónde están los ladrone|Pop|2|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Si te vas - 02.mp3|Shakira - ¿Dónde están los ladrones- - Si te vas - 02.mp3
x|Sombra de ti |Shakira|¿Dónde están los ladrone|Pop|10|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Sombra de ti - 10.mp3|Shakira - ¿Dónde están los ladrones- - Sombra de ti - 10.mp3
x|Tú |Shakira|¿Dónde están los ladrone|Pop|8|/mnt/PiNAS/music/malendragem/Shakira/¿Dónde están los ladrones_/Shakira - ¿Dónde están los ladrones- - Tú - 08.mp3|Shakira - ¿Dónde están los ladrones- - Tú - 08.mp3
x|All Star|Smash Mouth|100% Hits - the Best of 1999|Pop|1|/mnt/PiNAS/music/malendragem/Smash Mouth/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 01 - Smash Mouth - All Star.mp3|100% Hits - The Best of 1999 (Disc 1) - 01 - Smash Mouth - All Star.mp3
x|Every Morning|Sugar Ray|100% Hits - the Best of 1999|Pop|2|/mnt/PiNAS/music/malendragem/Sugar Ray/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 02 - Sugar Ray - Every Morning.mp3|100% Hits - The Best of 1999 (Disc 1) - 02 - Sugar Ray - Every Morning.mp3
x|Bailamos|Enrique Iglesias|100% Hits - the Best of 1999|Pop|3|/mnt/PiNAS/music/malendragem/Enrique Iglesias/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 03 - Enrique Iglesias - Bailamos.mp3|100% Hits - The Best of 1999 (Disc 1) - 03 - Enrique Iglesias - Bailamos.mp3
x|Say it Once|Ultra|100% Hits - the Best of 1999|Pop|4|/mnt/PiNAS/music/malendragem/Ultra/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 04 - Ultra - Say it Once.mp3|100% Hits - The Best of 1999 (Disc 1) - 04 - Ultra - Say it Once.mp3
x|Don't Call me Baby|Madison Avenue|100% Hits - the Best of 1999|Pop|5|/mnt/PiNAS/music/malendragem/Madison Avenue/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 05 - Madison Avenue - Don't Call me Baby.mp3|100% Hits - The Best of 1999 (Disc 1) - 05 - Madison Avenue - Don't Call me Baby.mp3
x|Honey to the Bee|Billie|100% Hits - the Best of 1999|Pop|6|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RP6N7RO/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 06 - Billie - Honey to the Bee.mp3|100% Hits - The Best of 1999 (Disc 1) - 06 - Billie - Honey to the Bee.mp3
x|Honey to the Bee|Billie|100% Hits - the Best of 1999|Pop|6|/mnt/PiNAS/music/malendragem/Billie/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 06 - Billie - Honey to the Bee.mp3|100% Hits - The Best of 1999 (Disc 1) - 06 - Billie - Honey to the Bee.mp3
x|Sweetest Thing|U2|100% Hits - the Best of 1999|Pop|7|/mnt/PiNAS/music/malendragem/U2/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 07 - U2 - Sweetest Thing.mp3|100% Hits - The Best of 1999 (Disc 1) - 07 - U2 - Sweetest Thing.mp3
x|Crush|Jennifer Paige|100% Hits - the Best of 1999|Pop|8|/mnt/PiNAS/music/malendragem/Jennifer Paige/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 08 - Jennifer Paige - Crush.mp3|100% Hits - The Best of 1999 (Disc 1) - 08 - Jennifer Paige - Crush.mp3
x|Cigarettes Will Kill You|Ben Lee|100% Hits - the Best of 1999|Pop|9|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RNB33FV/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3|100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3
x|Cigarettes Will Kill You|Ben Lee|100% Hits - the Best of 1999|Pop|9|/mnt/PiNAS/music/malendragem/Ben Lee/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3|100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3
x|Sonnet|Verve, The|100% Hits - the Best of 1999|Pop|10|/mnt/PiNAS/music/malendragem/Verve, The/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 10 - The Verve - Sonnet.mp3|100% Hits - The Best of 1999 (Disc 1) - 10 - The Verve - Sonnet.mp3
x|Baby did a Bad Thing|Chris Issac|100% Hits - the Best of 1999|Pop|11|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$ROYG59Q/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3|100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3
